Name,Url,Rating,Tags,Description
 Accounting for Mergers and Acquisitions: Foundations,https://www.coursera.org/learn/accounting-for-ma-1,,"['Business', 'Finance']","This course aims at assisting you in interpreting financial accounting information related to inter-corporate investments. The course will cover three main topics over four modules: (i) accounting for passive, significant influence, and control type of inter-corporate investments, (ii) special issues and considerations in inter-corporate investments, and (iii) special types of inter-corporate investments. "
 Add Gore to Your Game in Unity,https://www.coursera.org/learn/add-gore-game-unity,,"['Computer Science', 'Software Development']",
 Add Ragdoll Effect to a Character in Unity,https://www.coursera.org/learn/ragdoll-effect-unity,,"['Computer Science', 'Software Development']","Unity Physics is a great mechanic that simulates real-life physics into a character within a Scene. One entertaining effect in some games is the ""ragdoll"" effect, usually activated when a player or NPC dies or is thrown into the air. Traditionally, it is a complicated matter to set up a ragdoll, but Unity has created a Ragdoll Wizard that makes the process quite straightforward.

In this one-hour, project-based course, you will create a ragdoll pirate that flops in a heap, to the delight of the players of your game! You'll learn about the basics of Unity's Ragdoll Wizard, including configuring colliders, joints and physic materials for a more-realistic Ragdoll effect. You'll also learn the C# code required to toggle the effect with a key-press.

The guided project will introduce you to the following Unity concepts:
-Ragdoll  Wizard
-Physics Debugger
-Collider
-Character Joint
-Physic Material
-Basic C#"
 Advanced Topics in Derivative Pricing,https://www.coursera.org/learn/financial-engineering-advancedtopics,,"['Business', 'Finance']","This course discusses topics in derivative pricing. The first module is designed to understand the Black-Scholes model and utilize it to derive Greeks, which measures the sensitivity of option value to variables such as underlying asset price, volatility, and time to maturity. Greeks are important in risk management and hedging and often used to measure portfolio value change. Then we will analyze risk management of derivatives portfolios from two perspectives—Greeks approach and scenario analysis. The second module reveals how option’s theoretical price links to real market price—by implied volatility. We will discuss pricing by volatility surface as well as explanations of volatility smile and skew, which are common in real markets. The third module involves topics in credit derivatives and structured products and focuses on Credit Debit Obligation (CDO), which played an important part in the past financial crisis starting from 2007. We will cover CDO’s definition, simple and synthetic versions of CDO, and CDO portfolios. The final module is the application of option pricing methodologies and takes natural gas and electricity related options as an example to introduce valuation methods such as dynamic programming in real options."
 Approve Social Media Posts with Zapier and Trello,https://www.coursera.org/learn/approve-social-media-zapier-trello,,"['Business', 'Marketing']",
 Aprendizaje automático sin código: Azure ML Designer,https://www.coursera.org/learn/aprendizaje-automatico-sin-codigo-azureml-designer,,"['Data Science', 'Data Analysis']",
 Atención prehospitalaria del ictus agudo y selección de pacientes para tratamiento endovascular con la escala RACE,https://www.coursera.org/learn/ictus-agudo-escala-race,4.9,"['Health', 'Patient Care']","El ictus es una emergencia médica tiempo dependiente. En el ictus isquémico agudo, el primer objetivo es conseguir restablecer el flujo cerebral mediante tratamiento trombolítico con rTPA endovenoso o, en caso de oclusión de gran vaso cerebral, mediante tratamiento endovascular. En el ictus hemorrágico existen también tratamientos específicos que pueden mejorar su pronóstico."
 Automate Blog Advertisements with Zapier ,https://www.coursera.org/learn/automate-blog-advertisements-zapier,,"['Business', 'Marketing']",
 Bases de Datos NoSQL en Azure,https://www.coursera.org/learn/bases-datos-nosql-azure,,"['Information Technology', 'Cloud Computing']",
 Basic Descriptives using R Cmdr,https://www.coursera.org/learn/basic-desc-r-cmdr,,"['Data Science', 'Data Analysis']",
 Build a social media presence for your business using Canva,https://www.coursera.org/learn/build-a-social-media-presence-for-your-business-using-canva,,"['Computer Science', 'Design and Product']",
 Build social awareness content for Twitter with Canva,https://www.coursera.org/learn/build-social-awareness-content-for-twitter-with-canva,,"['Computer Science', 'Design and Product']","At the end of this project, you will have all the basic skills to create Twitter content to raise awareness and inform your audience using Canva, an online tool for creating and editing Marketing visuals. You will be able to create customizable graphic content using the various design tools, colors and graphics offered by Canva."
" Build, Train, and Deploy ML Pipelines using BERT",https://www.coursera.org/learn/ml-pipelines-bert,4.6,"['Data Science', 'Machine Learning']","In the second course of the Practical Data Science Specialization, you will learn to automate a natural language processing task by building an end-to-end machine learning pipeline using Hugging Face’s highly-optimized implementation of the state-of-the-art BERT algorithm with Amazon SageMaker Pipelines. Your pipeline will first transform the dataset into BERT-readable features and store the features in the Amazon SageMaker Feature Store. It will then fine-tune a text classification model to the dataset using a Hugging Face pre-trained model, which has learned to understand the human language from millions of Wikipedia documents. Finally, your pipeline will evaluate the model’s accuracy and only deploy the model if the accuracy exceeds a given threshold."
